Product Name,Price,Pack Size,Inventory Left,Description,All images url
Tunda Guava Juice 500ml,KES 70.00,500ml,1 ,Tunda Guava Juice in your daily palate can be very beneficial in the long run. Guava fruit is full of minerals and nutrients that are very important for the proper functioning of the body organs. The benefits of this fruit can be derived easily from the Guava Juice. A glass full of this juice is a great alternative to the harmful aerated drinks available in the market and can bring about a refreshing change in your daily life style. The Tunda Guava Juice has an appetizing power and is ideal for consumption between the meals. The nectar is enriched with natural juice of the fruit and has no added colour and preservatives that can cause adverse side effects.,"['https://cdnprod.mafretailproxy.com/sys-master-root/ha5/h3f/26951207387166/148719_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha5/h3f/26951207387166/148719_main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Treetop Orange Juice Blend Tetra 1L,KES 194.00,Not mentioned,2 ,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/h70/hd4/14741532409886/94928_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h70/hd4/14741532409886/94928_main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Treetop Apple Juice Blend Tetra 1 lt,KES 194.00,1 lt,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/hc3/hc2/12464010625054/94931_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hc3/hc2/12464010625054/94931_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
QUENCHER CORDIAL MANGOCOLADA 2L,KES 285.00,Not mentioned,3 ,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/hee/hd9/17130697916446/143959_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hee/hd9/17130697916446/143959_main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Tunda Apple Juice 500 ml,KES 70.00,500 ml,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/h4e/h2e/12618789421086/123699_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h4e/h2e/12618789421086/123699_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
QUENCHER CORDIAL COCOPINE 2L,KES 285.00,Not mentioned,1 ,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/ha2/ha8/17130691887134/143963_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha2/ha8/17130691887134/143963_main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Melvins Ginger Loose Tea 50 gr,KES 34.00,50 gr,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/h5e/hfe/17556891893790/40524_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h63/hc9/12462719762462/40524_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h5e/hfe/17556891893790/40524_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/h63/hc9/12462719762462/40524_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
RIBENA BLACKCURRANT PET 250ML,KES 55.00,Not mentioned,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/he7/h72/16930330312734/129951_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/he7/h72/16930330312734/129951_main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Keringet Mineral Water 500Ml,KES 49.00,500 ml,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/he9/h8c/16813675151390/34224_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h99/hb8/12462531280926/34224_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/he9/h8c/16813675151390/34224_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/h99/hb8/12462531280926/34224_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
AQUACLEAR WATER BOTTLE 500ML,KES 31.00,Not mentioned,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h7b/16872845279262/16143_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h1f/he6/12462841987102/16143_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h33/hbe/16872843640862/16143_1.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h7b/16872845279262/16143_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/h1f/he6/12462841987102/16143_Main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/h33/hbe/16872843640862/16143_1.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
